timestamp,src_ip,port,src_bytes,dst_bytes,count
2025-06-16T13:32:43.071621,192.168.0.104,80,4000,100,15
2025-06-16T13:33:23.377130,192.168.0.104,80,8000,150,20
2025-06-16T19:41:16.727909,192.168.0.104,80,0,0,1






2025-08-10T22:59:29.782064,192.168.0.105,8085,0,0,1
2025-08-10T22:59:41.886863,192.168.0.105,8085,0,0,1
2025-08-11T07:35:44.595724,192.168.0.105,8085,0,0,1
2025-08-11T09:41:24.397015,127.0.0.1,8085,0,0,1
2025-08-11T09:41:24.399416,127.0.0.1,8085,0,0,1
2025-08-11T09:42:10.158328,127.0.0.1,8085,0,0,1
2025-08-11T09:42:10.160091,127.0.0.1,8085,0,0,1
2025-08-11T09:53:20.031679,10.79.49.59,8085,0,0,1
2025-08-11T09:57:07.212942,10.79.49.59,8085,0,0,1
2025-08-11T09:57:29.902831,10.79.49.59,8085,0,0,1
